Γùç injected env (2) from .env // tip: Γùê secrets for agents [www.dotenvx.com]
Server running on http://localhost:3000
2026-06-12T07:50:50.656Z - GET /chat
2026-06-12T07:50:51.622Z - GET /@vite/client
2026-06-12T07:50:51.623Z - GET /src/main.tsx
2026-06-12T07:50:51.624Z - GET /@react-refresh
2026-06-12T07:50:51.663Z - GET /node_modules/vite/dist/client/env.mjs
2026-06-12T07:50:51.739Z - GET /src/App.tsx
2026-06-12T07:50:51.739Z - GET /src/index.css
2026-06-12T07:50:51.774Z - GET /src/components/layout/AppLayout.tsx
2026-06-12T07:50:51.774Z - GET /src/components/onboarding/Onboarding.tsx
[2m1:20:52 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:50:52.199Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:50:52.210Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:50:52.211Z - GET /src/pages/Missions.tsx
2026-06-12T07:50:52.211Z - GET /src/pages/Profile.tsx
2026-06-12T07:50:52.296Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:50:52.298Z - GET /src/pages/Insights.tsx
2026-06-12T07:50:52.298Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:50:52.299Z - GET /chat
2026-06-12T07:50:52.302Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:50:52.303Z - GET /src/pages/Chat.tsx
2026-06-12T07:50:52.306Z - GET /src/pages/Login.tsx
2026-06-12T07:50:52.308Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:50:52.308Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:50:52.308Z - GET /src/pages/Settings.tsx
2026-06-12T07:50:52.309Z - GET /src/store.ts
2026-06-12T07:50:52.320Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:50:52.321Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:50:52.408Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:50:52.409Z - GET /src/components/ui/card.tsx
2026-06-12T07:50:52.409Z - GET /src/components/ui/progress.tsx
2026-06-12T07:50:52.409Z - GET /src/components/ui/button.tsx
2026-06-12T07:50:52.457Z - GET /src/components/profile/ProfileModals.tsx
2026-06-12T07:50:52.458Z - GET /src/lib/utils.ts
[2m1:20:52 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:50:52.750Z - GET /@vite/client
2026-06-12T07:50:52.752Z - GET /src/main.tsx?t=1781250652185
2026-06-12T07:50:52.753Z - GET /@react-refresh
2026-06-12T07:50:52.807Z - GET /node_modules/vite/dist/client/env.mjs
2026-06-12T07:50:52.808Z - GET /src/App.tsx
2026-06-12T07:50:52.808Z - GET /src/index.css?t=1781250652602
[2m1:20:52 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:50:52.822Z - GET /src/components/layout/AppLayout.tsx
2026-06-12T07:50:52.823Z - GET /src/components/onboarding/Onboarding.tsx
2026-06-12T07:50:52.823Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:50:52.823Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:50:52.823Z - GET /src/pages/Missions.tsx
2026-06-12T07:50:52.823Z - GET /src/pages/Profile.tsx
2026-06-12T07:50:52.825Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:50:52.827Z - GET /src/pages/Insights.tsx
2026-06-12T07:50:52.828Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:50:52.828Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:50:52.828Z - GET /src/pages/Chat.tsx
2026-06-12T07:50:52.829Z - GET /src/pages/Login.tsx
2026-06-12T07:50:52.830Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:50:52.832Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:50:52.832Z - GET /src/pages/Settings.tsx
2026-06-12T07:50:52.834Z - GET /src/store.ts
2026-06-12T07:50:52.835Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:50:52.836Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:50:52.837Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:50:52.838Z - GET /src/components/ui/card.tsx
2026-06-12T07:50:52.839Z - GET /src/components/ui/button.tsx
2026-06-12T07:50:52.840Z - GET /src/components/ui/slider.tsx
2026-06-12T07:50:52.841Z - GET /src/components/ui/label.tsx
2026-06-12T07:50:52.842Z - GET /src/components/ui/progress.tsx
2026-06-12T07:50:52.843Z - GET /src/lib/report-generator.ts
2026-06-12T07:50:52.844Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:50:52.845Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:50:52.846Z - GET /src/components/dashboard/ActionModal.tsx
2026-06-12T07:50:52.846Z - GET /src/lib/utils.ts
2026-06-12T07:50:52.847Z - GET /src/components/ui/dialog.tsx
2026-06-12T07:50:52.849Z - GET /src/lib/firebase.ts
2026-06-12T07:50:52.850Z - GET /src/lib/firestore-utils.ts
2026-06-12T07:50:52.851Z - GET /src/components/profile/ProfileModals.tsx
2026-06-12T07:50:52.852Z - GET /src/components/ui/input.tsx
2026-06-12T07:50:52.852Z - GET /src/components/settings/SettingsModals.tsx
2026-06-12T07:50:52.853Z - GET /src/types.ts
2026-06-12T07:50:52.864Z - GET /firebase-applet-config.json?import
